Date,Open,High,Low,Close
2023-03-16 14:00:00,132.83501,132.96500,132.71500,132.73000
2023-03-16 13:00:00,133.05000,133.11501,132.76500,132.82500
2023-03-16 12:00:00,133.32500,133.48500,133.03500,133.06500
2023-03-16 11:00:00,132.91499,133.39000,132.50500,133.36000
2023-03-16 10:00:00,133.36000,133.36501,132.80499,132.90500
2023-03-16 09:00:00,133.36000,133.38499,133.24500,133.34500
2023-03-16 08:00:00,133.38499,133.45500,133.31500,133.34500
2023-03-16 07:00:00,133.19501,133.48500,133.15500,133.42500
2023-03-16 06:00:00,133.47501,133.53500,133.14500,133.21500
2023-03-16 05:00:00,133.04500,133.78500,132.95500,133.43500
2023-03-16 04:00:00,132.71500,133.13499,132.60500,133.03500
2023-03-16 03:00:00,132.84500,132.85500,132.41499,132.71500
2023-03-16 02:00:00,132.93500,133.31500,132.80499,132.82500
2023-03-16 01:00:00,132.72501,133.25500,132.63499,132.96500
2023-03-16 00:00:00,132.72000,133.24500,132.22000,132.77499
2023-03-15 23:00:00,133.56500,133.60500,132.52499,132.64500
2023-03-15 22:00:00,133.59500,133.84500,133.44501,133.54500
2023-03-15 21:00:00,134.16499,134.16499,133.39500,133.61501
2023-03-15 20:00:00,134.66499,134.72501,133.98500,134.20500
2023-03-15 19:00:00,134.87500,135.10500,134.64500,134.67500
2023-03-15 18:00:00,134.68500,135.05499,134.55499,134.87500
2023-03-15 17:00:00,134.65500,134.83501,134.56500,134.70500
2023-03-15 16:00:00,134.52499,134.68500,134.46500,134.63499
2023-03-15 15:00:00,134.25500,134.54500,134.24500,134.52499
2023-03-15 14:00:00,134.15500,134.29500,134.07500,134.25500
2023-03-15 13:00:00,134.31500,134.31500,134.03500,134.15500
2023-03-15 12:00:00,134.43500,134.43500,134.21500,134.30499
2023-03-15 11:00:00,134.43500,134.60500,134.38499,134.42500
2023-03-15 10:00:00,134.24500,134.47501,134.24500,134.43500
2023-03-15 09:00:00,134.28000,134.28999,134.17999,134.24500
2023-03-15 08:00:00,134.22501,134.30499,134.18500,134.25999
2023-03-15 07:00:00,134.20500,134.28500,134.13499,134.22000
2023-03-15 06:00:00,134.17500,134.20500,133.99500,134.19501
2023-03-15 05:00:00,134.38499,134.43500,134.03500,134.17500
2023-03-15 04:00:00,134.39500,134.40500,134.08501,134.39500
2023-03-15 03:00:00,134.33501,134.60500,134.31500,134.40500
2023-03-15 02:00:00,134.50500,134.50500,134.23500,134.31500
2023-03-15 01:00:00,134.76500,134.83501,134.43500,134.51500
2023-03-15 00:00:00,134.06000,134.89500,133.99001,134.75500
2023-03-14 23:00:00,134.17500,134.64999,133.88499,134.06000
2023-03-14 22:00:00,133.96500,134.23500,133.91499,134.15500
2023-03-14 21:00:00,134.21500,134.26500,133.93500,133.95500
2023-03-14 20:00:00,134.07500,134.22501,134.00500,134.21500
2023-03-14 19:00:00,133.55000,134.34500,133.48500,134.13499
2023-03-14 18:00:00,133.62500,133.66499,133.39500,133.54500
2023-03-14 17:00:00,133.84500,133.90500,133.19501,133.62500
2023-03-14 16:00:00,133.86501,133.97501,133.78500,133.84500
2023-03-14 15:00:00,133.78500,134.03000,133.73500,133.86501
2023-03-14 14:00:00,133.70500,133.83501,133.66499,133.78500
2023-03-14 13:00:00,133.71500,133.80499,133.61000,133.70500
2023-03-14 12:00:00,133.24500,133.94000,133.24001,133.72501
2023-03-14 11:00:00,133.07500,133.35500,133.04500,133.24500
2023-03-14 10:00:00,133.18500,133.34000,133.09000,133.09000
2023-03-14 09:00:00,133.18500,133.23500,133.12500,133.20500
2023-03-14 08:00:00,133.20500,133.24500,133.18500,133.20500
2023-03-14 07:00:00,133.34500,133.42500,133.19501,133.23500
2023-03-14 06:00:00,133.32500,133.62500,133.29500,133.32500
2023-03-14 05:00:00,133.17500,133.47501,133.11501,133.32500
2023-03-14 04:00:00,133.05499,133.20500,132.95500,133.18500
2023-03-14 03:00:00,133.14500,133.41499,133.04500,133.08501
2023-03-14 02:00:00,132.82500,133.29500,132.65500,133.15500
2023-03-14 01:00:00,133.02499,133.21500,132.63499,132.78500
2023-03-14 00:00:00,132.54500,133.09500,132.42500,133.04500
2023-03-13 23:00:00,133.15500,133.27499,132.29500,132.54500
2023-03-13 22:00:00,133.58501,133.80499,132.84500,133.15500
2023-03-13 21:00:00,133.23500,133.72501,133.12500,133.58501
2023-03-13 20:00:00,133.78999,133.95500,132.96500,133.23500
2023-03-13 19:00:00,134.50500,134.65500,133.77499,133.82500
2023-03-13 18:00:00,134.55499,134.69501,134.36501,134.52499
2023-03-13 17:00:00,134.37500,134.55499,134.11501,134.55499
2023-03-13 16:00:00,134.15500,134.41499,134.00500,134.35500
2023-03-13 15:00:00,134.11000,134.18500,133.88499,134.15500
2023-03-13 14:00:00,133.85500,134.14500,133.70500,134.11501
2023-03-13 13:00:00,134.71500,134.71500,133.70500,133.85500
2023-03-13 12:00:00,134.38499,134.82500,134.25500,134.72501
2023-03-13 11:00:00,134.96500,134.96500,134.25500,134.38000
2023-03-13 10:00:00,134.19501,134.99500,134.13499,134.93500
2023-03-13 09:00:00,133.93500,134.65500,133.56000,134.43500
2023-03-13 08:00:00,134.44501,134.44501,133.97501,134.00500
2023-03-13 07:00:00,134.73500,134.77499,134.66499,134.67500
2023-03-11 06:00:00,134.83501,134.88499,134.67500,134.78500
2023-03-11 05:00:00,134.74500,134.97501,134.67500,134.84500
2023-03-11 04:00:00,135.07500,135.07500,134.62500,134.74500
2023-03-11 03:00:00,134.29500,135.18500,134.29500,135.04500
2023-03-11 02:00:00,134.83501,134.85500,134.12500,134.28500
2023-03-11 01:00:00,136.27499,136.36501,134.76500,134.77499
2023-03-11 00:00:00,136.71500,136.81500,135.86000,136.26500
2023-03-10 23:00:00,136.76500,136.87500,136.60500,136.70500
2023-03-10 22:00:00,136.98500,136.98500,136.74500,136.77499
2023-03-10 21:00:00,136.78500,136.99500,136.71500,136.97501
2023-03-10 20:00:00,136.62500,136.80499,136.61000,136.78500
2023-03-10 19:00:00,136.38499,136.64500,136.10500,136.63499
2023-03-10 18:00:00,136.75500,136.77499,136.31500,136.43500
2023-03-10 17:00:00,136.64500,136.86000,136.58501,136.73500
2023-03-10 16:00:00,136.58501,136.71500,136.52000,136.64999
2023-03-10 15:00:00,136.50999,136.79500,136.50500,136.57500
2023-03-10 14:00:00,136.72501,136.75500,136.42000,136.51500
2023-03-10 13:00:00,135.95500,136.95000,135.88000,136.72501
2023-03-10 12:00:00,135.94501,136.07500,135.87500,135.96500
2023-03-10 11:00:00,136.35500,136.42500,135.81500,135.92500
2023-03-10 10:00:00,136.17500,136.42500,136.14500,136.37500
2023-03-10 09:00:00,136.14999,136.18500,136.10500,136.17000
2023-03-10 08:00:00,136.13499,136.16499,136.08501,136.13499
2023-03-10 07:00:00,136.16499,136.20500,136.06500,136.11501
2023-03-10 06:00:00,136.05499,136.18500,135.99500,136.16499
2023-03-10 05:00:00,136.22501,136.25500,136.05499,136.05499
2023-03-10 04:00:00,136.41499,136.48500,136.21500,136.22501
2023-03-10 03:00:00,136.32500,136.42500,136.21500,136.41499
2023-03-10 02:00:00,136.15500,136.34500,136.01500,136.31500
2023-03-10 01:00:00,136.06500,136.38499,136.00500,136.16499
2023-03-10 00:00:00,136.28500,136.38499,135.95500,136.09500
2023-03-09 23:00:00,136.28500,136.39999,136.23500,136.28500
2023-03-09 22:00:00,136.12500,136.28500,136.02499,136.28500
2023-03-09 21:00:00,136.19501,136.29500,136.07500,136.12500
2023-03-09 20:00:00,136.38499,136.46500,136.11501,136.19501
2023-03-09 19:00:00,136.82500,136.89500,136.20500,136.38499
2023-03-09 18:00:00,136.64500,136.84500,136.58501,136.84500
2023-03-09 17:00:00,136.82500,136.84500,136.60500,136.63499
2023-03-09 16:00:00,136.80499,136.86501,136.73500,136.82500
2023-03-09 15:00:00,136.93500,136.99001,136.75500,136.79500
2023-03-09 14:00:00,137.07500,137.09500,136.92500,136.92500
2023-03-09 13:00:00,137.12500,137.12500,136.98500,137.07500
2023-03-09 12:00:00,136.97501,137.16499,136.95500,137.12500
2023-03-09 11:00:00,137.22501,137.25500,136.81500,136.98000
2023-03-09 10:00:00,137.23500,137.29500,137.15500,137.23000
2023-03-09 09:00:00,137.35500,137.38000,137.26500,137.27499
2023-03-09 08:00:00,137.24500,137.43500,137.24500,137.38499
2023-03-09 07:00:00,137.22501,137.31500,137.18500,137.24500
2023-03-09 06:00:00,137.24500,137.32500,137.19501,137.23500
2023-03-09 05:00:00,137.21500,137.29500,137.14500,137.28500
2023-03-09 04:00:00,137.18500,137.22501,137.04500,137.20500
2023-03-09 03:00:00,136.88499,137.21500,136.77499,137.18500
2023-03-09 02:00:00,136.81500,137.13499,136.47501,136.88499
2023-03-09 01:00:00,137.06500,137.06500,136.68500,136.82500
2023-03-09 00:00:00,137.29500,137.36501,137.03500,137.07500
2023-03-08 23:00:00,137.26500,137.32500,137.15500,137.29500
2023-03-08 22:00:00,137.44501,137.46500,137.21500,137.26500
2023-03-08 21:00:00,137.55499,137.65500,137.35500,137.43500
2023-03-08 20:00:00,137.61501,137.66499,137.49500,137.57001
2023-03-08 19:00:00,137.47501,137.60500,137.44501,137.58501
2023-03-08 18:00:00,137.64500,137.68500,137.46500,137.50500
2023-03-08 17:00:00,137.70500,137.74500,137.60500,137.62500
2023-03-08 16:00:00,137.83501,137.90500,137.70500,137.72501
2023-03-08 15:00:00,137.76500,137.90500,137.69501,137.83501
2023-03-08 14:00:00,137.63000,137.77499,137.59500,137.74500
2023-03-08 13:00:00,137.32500,137.63000,137.31500,137.63000
2023-03-08 12:00:00,137.31500,137.40500,137.28500,137.31500
